2022-01-01 00:00:00 -> 2022-01-22 00:00:00 | Max open trades : 5
2022-01-26T16:30:39.120851765Z ================================================================================= STRATEGY SUMMARY ================================================================================
2022-01-26T16:30:39.120855442Z |                    Strategy |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |             Drawdown |
2022-01-26T16:30:39.120859120Z |-----------------------------+--------+----------------+----------------+-------------------+----------------+------------------+-------------------------+----------------------|
2022-01-26T16:30:39.120862765Z |                   ClucHAnix |    199 |          -0.40 |         -80.06 |          -161.727 |         -16.17 |          3:05:00 |   123    38    38  61.8 | 230.865 USDT  21.59% |
2022-01-26T16:30:39.120866367Z |                         Sar |    168 |          -1.19 |        -199.50 |          -344.257 |         -34.43 |         13:10:00 |   131     0    37  78.0 | 400.680 USDT  37.93% |
2022-01-26T16:30:39.120869991Z |           InformativeSample |    222 |          -0.73 |        -162.01 |          -295.228 |         -29.52 |         10:12:00 |   184     0    38  82.9 | 369.526 USDT  34.40% |
2022-01-26T16:30:39.120873612Z |                 Strategy001 |    130 |          -1.67 |        -216.85 |          -361.471 |         -36.15 |         18:28:00 |    97     0    33  74.6 | 410.254 USDT  39.12% |
2022-01-26T16:30:39.120877250Z |                   CMCWinner |    457 |          -0.37 |        -166.81 |          -289.189 |         -28.92 |          2:20:00 |   193   197    67  42.2 | 317.380 USDT  30.87% |
2022-01-26T16:30:39.120880942Z |              SampleStrategy |    168 |          -1.19 |        -199.50 |          -344.257 |         -34.43 |         13:10:00 |   131     0    37  78.0 | 400.680 USDT  37.93% |
2022-01-26T16:30:39.120885051Z |                         MFI |    664 |          -0.30 |        -196.97 |          -341.011 |         -34.10 |          3:18:00 |   359     0   305  54.1 | 389.848 USDT  37.17% |
2022-01-26T16:30:39.120888768Z |              MACD_TRIPLE_MA |    633 |          -0.32 |        -200.42 |          -333.997 |         -33.40 |          2:43:00 |   233   195   205  36.8 | 359.041 USDT  35.03% |
2022-01-26T16:30:39.120895918Z |                  MACDRSI200 |    217 |          -0.84 |        -182.51 |          -312.546 |         -31.25 |          9:16:00 |   106     2   109  48.8 | 363.697 USDT  34.60% |
2022-01-26T16:30:39.120899667Z |                      BigZ04 |     43 |          -2.32 |         -99.93 |          -191.683 |         -19.17 |   1 day, 4:54:00 |    31     0    12  72.1 | 221.133 USDT  21.48% |
2022-01-26T16:30:39.120903308Z |                       BbRoi |    289 |          -0.64 |        -186.35 |          -327.999 |         -32.80 |          8:09:00 |   158    65    66  54.7 | 377.434 USDT  35.97% |
2022-01-26T16:30:39.120906926Z |       CombinedBinHAndClucV7 |     43 |          -0.89 |         -38.48 |           -76.581 |          -7.66 |          3:14:00 |    25     0    18  58.1 | 122.734 USDT  11.79% |
2022-01-26T16:30:39.120910576Z |                      min5v5 |      4 |           3.49 |          13.97 |            27.959 |           2.80 |          0:16:00 |     4     0     0   100 |   0.000 USDT   0.00% |
2022-01-26T16:30:39.120914220Z |                      ichiV1 |   1419 |           1.08 |        1529.32 |         19267.210 |        1926.72 |          0:43:00 |   933     5   481  65.8 | 278.813 USDT   1.41% |
2022-01-26T16:30:39.120917847Z |                        hlhb |    390 |          -0.78 |        -304.14 |          -475.037 |         -47.50 |          6:05:00 |   161     0   229  41.3 | 538.306 USDT  50.63% |
2022-01-26T16:30:39.120921481Z |                     MACDCCI |      8 |         -23.27 |        -186.13 |          -342.621 |         -34.26 | 13 days, 0:13:00 |     0     0     8     0 | 282.884 USDT  30.09% |
2022-01-26T16:30:39.120925145Z | NostalgiaForInfinityNextGen |      6 |           2.96 |          17.77 |            35.364 |           3.54 |          0:19:00 |     6     0     0   100 |   0.000 USDT   0.00% |
2022-01-26T16:30:39.120929023Z |                  Supertrend |    388 |          -0.78 |        -304.56 |          -463.185 |         -46.32 |          5:58:00 |   100     0   288  25.8 | 520.543 USDT  49.23% |
2022-01-26T16:30:39.120932696Z |                    Apollo11 |     61 |          -2.52 |        -154.02 |          -289.455 |         -28.95 |  1 day, 17:04:00 |    40     0    21  65.6 | 378.683 USDT  34.77% |
2022-01-26T16:30:39.120936498Z |              YorganStrategy |     36 |          -1.23 |         -44.30 |           -85.925 |          -8.59 |          5:17:00 |    19     0    17  52.8 |  84.820 USDT   8.49% |
2022-01-26T16:30:39.120940147Z |                     mabStra |    290 |          -0.70 |        -203.62 |          -356.118 |         -35.61 |          8:04:00 |   116   131    43  40.0 | 385.957 USDT  37.48% |
2022-01-26T16:30:39.120943818Z |                 Strategy003 |    128 |          -1.14 |        -145.63 |          -264.447 |         -26.44 |         13:02:00 |   104     0    24  81.2 | 341.903 USDT  31.73% |
2022-01-26T16:30:39.120947434Z |                     Quickie |    115 |          -1.19 |        -137.15 |          -274.960 |         -27.50 |         20:54:00 |   102     0    13  88.7 | 387.144 USDT  34.81% |
2022-01-26T16:30:39.120951042Z |                   SMAOffset |     69 |          -0.87 |         -59.85 |          -120.007 |         -12.00 |          8:02:00 |    36     0    33  52.2 | 163.081 USDT  15.63% |
2022-01-26T16:30:39.120954661Z |                 EMASkipPump |    728 |          -0.41 |        -295.23 |          -455.185 |         -45.52 |          3:04:00 |   413     0   315  56.7 | 512.707 USDT  48.87% |
2022-01-26T16:30:39.120967502Z |                     BinHV45 |    133 |          -0.59 |         -78.34 |          -148.655 |         -14.87 |          2:48:00 |    95     0    38  71.4 | 160.728 USDT  15.91% |
2022-01-26T16:30:39.120971225Z |             CofiBitStrategy |   1938 |          -0.20 |        -379.63 |          -533.583 |         -53.36 |          0:31:00 |   829     0  1109  42.8 | 558.842 USDT  55.08% |
2022-01-26T16:30:39.120974888Z |                     MultiMa |    395 |          -0.40 |        -158.41 |          -272.507 |         -27.25 |          3:09:00 |   115     0   280  29.1 | 283.716 USDT  28.06% |
2022-01-26T16:30:39.120978544Z |                     NASOSv5 |      4 |          -0.30 |          -1.20 |            -2.373 |          -0.24 |          0:00:00 |     0     0     4     0 |   1.779 USDT   0.18% |
2022-01-26T16:30:39.120982395Z |                MACDStrategy |    216 |          -0.89 |        -192.02 |          -337.143 |         -33.71 |         10:56:00 |   145     0    71  67.1 | 388.421 USDT  36.95% |
2022-01-26T16:30:39.120986077Z | CombinedBinHAndCluc2021Bull |    133 |          -0.34 |         -45.09 |           -87.824 |          -8.78 |          1:01:00 |    85     0    48  63.9 | 102.150 USDT  10.07% |
2022-01-26T16:30:39.120989710Z |        TDSequentialStrategy |    417 |          -0.48 |        -198.81 |          -341.321 |         -34.13 |          5:29:00 |   215     0   202  51.6 | 406.098 USDT  38.14% |
2022-01-26T16:30:39.120993346Z |                MADisplaceV3 |     41 |          -0.17 |          -6.95 |           -14.651 |          -1.47 |          1:11:00 |    21     0    20  51.2 |  42.907 USDT   4.17% |
2022-01-26T16:30:39.120996942Z |                MultiMA_TSL3 |      9 |          -1.00 |          -9.01 |           -18.189 |          -1.82 |          1:18:00 |     7     0     2  77.8 |  30.271 USDT   3.01% |
2022-01-26T16:30:39.121000573Z |    CombinedBinHClucAndMADV3 |     69 |          -0.42 |         -28.72 |           -61.059 |          -6.11 |          1:48:00 |    47     0    22  68.1 |  80.131 USDT   7.92% |
2022-01-26T16:30:39.121004214Z |               BB_RPB_TSL_BI |     24 |           0.57 |          13.68 |            26.615 |           2.66 |          5:48:00 |    20     0     4  83.3 |  30.995 USDT   2.94% |
2022-01-26T16:30:39.121007862Z |              ObeliskIM_v1_1 |    401 |          -0.47 |        -188.53 |          -314.227 |         -31.42 |          2:09:00 |    78     0   323  19.5 | 320.821 USDT  31.99% |
2022-01-26T16:30:39.121011517Z |       CombinedBinHAndClucV8 |     33 |          -0.68 |         -22.41 |           -44.819 |          -4.48 |          3:01:00 |    18     0    15  54.5 |  67.331 USDT   6.58% |
2022-01-26T16:30:39.121015197Z |                   DevilStra |     23 |          -3.81 |         -87.57 |          -186.946 |         -18.69 | 4 days, 13:03:00 |     9     3    11  39.1 | 311.227 USDT  27.68% |
2022-01-26T16:30:39.121018807Z |                     AdxSmas |    865 |          -0.49 |        -428.07 |          -582.207 |         -58.22 |          2:45:00 |   256     0   609  29.6 | 603.898 USDT  59.11% |
2022-01-26T16:30:39.121022632Z |             BbandRsiRolling |    133 |          -1.39 |        -185.08 |          -324.049 |         -32.40 |         18:20:00 |    75    12    46  56.4 | 350.279 USDT  34.13% |
2022-01-26T16:30:39.121030294Z |  Obelisk_TradePro_Ichi_v2_1 |    811 |          -0.35 |        -283.34 |          -437.341 |         -43.73 |          2:28:00 |   252     0   559  31.1 | 468.970 USDT  45.46% |
2022-01-26T16:30:39.121033988Z |                     Chained |     60 |          -0.62 |         -37.30 |           -80.209 |          -8.02 |          3:44:00 |    43     0    17  71.7 | 120.580 USDT  11.59% |
2022-01-26T16:30:39.121037613Z |                      Martin |    168 |          -1.19 |        -199.50 |          -344.257 |         -34.43 |         13:10:00 |   131     0    37  78.0 | 400.680 USDT  37.93% |
2022-01-26T16:30:39.121041290Z |        ASDTSRockwellTrading |   3589 |          -0.30 |       -1078.40 |          -883.667 |         -88.37 |          0:33:00 |   754     0  2835  21.0 | 889.009 USDT  88.43% |
2022-01-26T16:30:39.121044933Z |                     Diamond |    127 |          -1.28 |        -162.06 |          -313.926 |         -31.39 |         19:43:00 |    55    60    12  43.3 | 357.493 USDT  34.26% |
2022-01-26T16:30:39.121048583Z |                 AwesomeMacd |    602 |          -0.57 |        -345.19 |          -507.831 |         -50.78 |          3:42:00 |   160     0   442  26.6 | 539.886 USDT  52.31% |
2022-01-26T16:30:39.121052199Z |    CombinedBinHClucAndMADV9 |    137 |          -0.03 |          -3.46 |            -9.605 |          -0.96 |          1:25:00 |   104     0    33  75.9 |  60.564 USDT   5.85% |
2022-01-26T16:30:39.121063919Z |           ReinforcedQuickie |    459 |          -0.30 |        -136.83 |          -248.250 |         -24.82 |          3:53:00 |   328     0   131  71.5 | 321.565 USDT  30.08% |
